"name","movie_duration","movie_year","genres","countries"
"Мсье Ибрагим и цветы Корана",96,2003,"[драма, комедия]","[Франция]"
"Озорной мир Тэкса Авери (сериал)",30,1997,"[мультфильм, комедия, семейный]","[США, Франция, Канада]"
"Олененок Рудольф (видео)",83,1998,"[мультфильм, мюзикл, мелодрама, приключения, семейный]","[США, Канада]"
"Олененок Рудольф 2: Остров потерянных игрушек (видео)",74,2001,"[мультфильм, мюзикл, комедия, семейный]","[США, Канада]"
"Пираты темной воды (сериал 1991 – 1992)",22,1991,"[мультфильм, фэнтези, боевик, приключения]","[США]"
"Скуби Ду едет в Голливуд (ТВ)",60,1979,"[мультфильм, комедия, детектив, семейный]","[США]"
"Скуби-Ду! встречает братьев Бу (ТВ)",93,1987,"[мультфильм, фэнтези, комедия]","[США]"
"Скуби-Ду! и нашествие инопланетян (видео)",74,2000,"[мультфильм, фантастика, комедия, детектив]","[США]"
"Маска (сериал 1995 – 1997)",22,1995,"[мультфильм, фэнтези, комедия]","[США]"
"Тупой и еще тупее (сериал 1995 – ...)",21,1995,"[мультфильм, комедия, семейный]","[США]"
"Скуби-Ду! Ночи Шахерезады (ТВ)",68,1994,"[мультфильм, фэнтези, комедия, детектив]","[США]"
"Легенда о принце Валианте (сериал 1991 – 1994)",22,1991,"[мультфильм, фэнтези, приключения]","[США]"
"Чокнутый (сериал 1993 – 1994)",22,1993,"[мультфильм, комедия, семейный]","[США]"
"Надзиратель",93,2001,"[комедия, криминал]","[Великобритания]"
"Секрет Анастасии (видео)","-",1997,"[мультфильм, семейный]","[США]"
"Овод (мини-сериал)",210,1980,"[драма]","[СССР]"
"Шестидесятые (ТВ)",240,1999,"[драма]","[США]"
"13-й воин",102,1999,"[боевик, детектив, приключения]","[США]"
"Скольжение (ТВ)",120,1998,"[триллер, детектив]","[США]"
"День восьмой",118,1996,"[драма, комедия]","[Бельгия, Франция, Великобритания]"
"Запретная любовь (ТВ)",105,2000,"[драма]","[США]"
"Проект 281 (ТВ)",86,1999,"[драма, биография]","[США, Великобритания]"
"Смятение чувств (ТВ)",90,1980,"[драма]","[Франция, Германия (ФРГ)]"
"Тайна леди Одли (ТВ)",108,2000,"[драма]","[Великобритания]"
"Ужас из бездны (ТВ)",91,2001,"[ужасы, фэнтези, триллер]","[США]"
"Не навреди (ТВ)",90,1997,"[драма]","[США, Канада]"
"Пари Матч (ТВ)",100,2000,"[драма, комедия]","[США]"
"Заживо погребенный 2 (ТВ)",97,1997,"[ужасы, триллер]","[США]"
"Похороненные заживо (ТВ)",89,1990,"[ужасы, триллер]","[США]"
"Суини Тодд (ТВ)",92,1997,"[ужасы, триллер, драма, криминал]","[Ирландия, США]"
"Свидетель против мафии (ТВ)",240,1998,"[драма, криминал]","[США]"
"Девушка, которая слишком много знала",92,1963,"[триллер, детектив]","[Италия]"
"Сюрприз для папаши (ТВ)",93,1997,"[комедия, семейный]","[Канада]"
"Приговоренный к смерти (ТВ)",104,1993,"[боевик, триллер, драма]","[США]"
"Новый дон (ТВ)",346,1999,"[драма, криминал]","[Канада, США, Италия]"
"Тело будет предано земле, а старший мичман будет петь",101,1998,"[комедия]","[Россия]"
"Семья",132,1987,"[мелодрама]","[Индия]"
"Муки невинных",102,1972,"[ужасы, триллер, детектив]","[Италия]"
"Мать",139,1991,"[драма]","[Франция]"
"Куклы",77,1986,"[ужасы, фэнтези]","[США, Италия]"
"Крысиная стая (ТВ)",120,1998,"[драма]","[США]"
"Проклятие Амитивилля (видео)",91,1989,"[ужасы]","[Канада, США]"
"Судороги ужаса (ТВ)",90,1997,"[ужасы, триллер]","[Канада]"
"Витрина (ТВ)",76,2000,"[мелодрама]","[Россия]"
"Шоссе номер 9 (ТВ)",105,1998,"[драма, криминал]","[США]"
"Молодая Екатерина (ТВ)",187,1990,"[драма, биография, история]","[Великобритания, США, Канада, СССР, Германия, Италия]"
"Вольный ветер (ТВ)",134,1983,"[мюзикл, мелодрама, комедия]","[СССР]"
"Зодиак",158,2007,"[триллер, драма, криминал, детектив]","[США]"
"Полицейская история",112,1975,"[триллер, драма, криминал]","[Франция, Италия]"
"Хочу быть хуже всех: История Денниса Родмана (ТВ)",120,1998,"[драма, биография, спорт]","[США, Канада]"
"Оливер Твист (ТВ)",91,1997,"[драма, криминал, семейный]","[США]"
"Бесы",116,1987,"[драма]","[Франция]"
"Клонические войны (сериал 2003 – 2005)",5,2003,"[мультфильм, фантастика, фэнтези, боевик, приключения]","[США, Корея Южная]"
"Девятый день",98,2004,"[триллер, драма, военный]","[Германия, Люксембург, Чехия]"
"Когда сталкиваются миры",83,1951,"[фантастика, семейный]","[США]"
"Без семьи (ТВ)",180,2000,"[драма]","[Чехия, Франция, Германия]"
"Ландыш серебристый 2 (сериал)",600,2004,"[драма, мелодрама, комедия]","[Россия]"
"Топор для новобрачной",88,1970,"[ужасы, триллер]","[Италия, Испания]"
"Буковски",130,2003,"[документальный, биография]","[США]"
"На острие: Волшебство киномонтажа",99,2004,"[документальный]","[США, Япония, Великобритания]"
"О, божественный пес!",103,1980,"[фэнтези, комедия, криминал, детектив]","[США]"
"Код да Винчи (видео)",88,2004,"[документальный, история]","[США]"
"Анастасия: Тайна Анны (ТВ)",200,1986,"[драма, детектив]","[США, Австрия, Италия]"
"Узы крови",117,1979,"[триллер, драма, мелодрама, криминал, детектив]","[США, Германия (ФРГ)]"
"Розовая пантера наносит ответный удар",103,1976,"[триллер, комедия, криминал]","[Великобритания, США]"
"Чешская мечта",90,2004,"[документальный, комедия]","[Чехия]"
"Таинственный остров",96,1972,"[фантастика, приключения]","[Испания, Франция, Италия, Камерун]"
"Ограбление",120,1971,"[боевик, триллер, криминал]","[Франция, Италия]"
"Гавайи, Осло",125,2004,"[драма]","[Дания, Швеция, Норвегия]"
"Взаимопонимание",109,2005,"[комедия]","[США]"
"Война крестоносцев",128,1971,"[драма, приключения, военный]","[Великобритания, США]"
"Затвор",97,2004,"[ужасы, триллер, детектив]","[Таиланд]"
"Непослушный Бабби",114,1993,"[комедия]","[Австралия, Италия]"
"Майерлинг",135,1968,"[драма, мелодрама, история]","[Великобритания, Франция]"
"Смешная девчонка",155,1968,"[мюзикл, драма, мелодрама, комедия, биография]","[США]"
"Воссоединение семьи Мэдеи",107,2006,"[драма, мелодрама, комедия]","[США]"
"Путешествие на край ночи",88,2006,"[триллер, драма]","[США, Германия, Бразилия]"
"Магазин на площади",125,1965,"[драма]","[Чехословакия]"
"Тени мертвых",92,2004,"[ужасы, драма]","[США]"
"Московские окна (сериал)",43,2001,"[драма]","[Россия]"
"Лучший город Земли (сериал)",44,2003,"[драма]","[Россия]"
"Принцесса на горошине",75,2002,"[мультфильм, фэнтези, семейный]","[США, Венгрия]"
"Дикость 3: Неограненные алмазы (ТВ)",87,2005,"[триллер, драма, криминал, детектив]","[США]"
"Рубаки Next (сериал)",30,1996,"[аниме, мультфильм, комедия]","[Япония]"
"Человек гризли (ТВ)",103,2005,"[документальный, биография]","[США]"
"Вскармливание",97,2005,"[ужасы, триллер, криминал]","[Австралия]"
"Дети шпионы","-",2004,"[боевик, комедия, приключения, семейный]","[США]"
"Черный ирландец",95,2007,"[драма]","[США]"
"Харакири",133,1962,"[драма, боевик, история]","[Япония]"
"Виола Тараканова (сериал 2004 – 2007)",45,2004,"[боевик, комедия, криминал, детектив]","[Россия]"
"Ангелы в Америке (мини-сериал)",352,2003,"[фэнтези, драма]","[США, Италия]"
"Слезы под дождем (ТВ)",100,1988,"[драма, мелодрама, военный]","[Великобритания]"
"Эскадрилья «Лафайет»",140,2006,"[боевик, драма, мелодрама, приключения, военный, история]","[Великобритания, США]"
"Лунный камень (ТВ)",112,1997,"[драма, криминал, детектив]","[Великобритания]"
"Женщина в белом (ТВ)",125,1997,"[триллер, детектив]","[Великобритания]"
"Телохранитель",105,2004,"[боевик, комедия]","[Таиланд]"
"Джордж Вашингтон",90,2000,"[драма]","[США]"
"Алиса в стране чудес",76,1933,"[фэнтези, приключения, семейный]","[США]"
"Вышивальщицы",89,2004,"[драма, мелодрама]","[Франция]"
"Кошмар Дарвина",107,2004,"[документальный]","[Австрия, Бельгия, Франция, Германия]"
"Девочки-камикадзе",102,2004,"[комедия]","[Япония]"
"Джордж Уоллас (ТВ)",178,1997,"[драма, биография]","[США]"
"Черепашки-ниндзя",87,2007,"[мультфильм, фантастика, фэнтези, боевик, комедия, приключения, семейный]","[Гонконг, США]"
"Коробка",88,2004,"[комедия]","[Франция]"
"Бравый солдат Швейк",202,1957,"[комедия, военный]","[Чехословакия]"
"Кенгуру Джекпот: Новые приключения (видео)",75,2004,"[мультфильм, семейный]","[США]"
"Чобиты (сериал 2002 – 2003)",25,2002,"[аниме, мультфильм, фантастика, драма, мелодрама, комедия]","[Япония]"
"Формула 17",93,2004,"[мелодрама, комедия]","[Тайвань]"
"Замужняя женщина",130,2005,"[мюзикл, драма, мелодрама]","[Индия]"
"Лила говорит",89,2004,"[драма, мелодрама, криминал]","[Франция, Великобритания]"
"Ушпизин",90,2004,"[драма]","[Израиль]"
"Утомленные солнцем 2: Предстояние",181,2010,"[драма, военный]","[Россия]"
"Я не ангел",87,1933,"[мюзикл, мелодрама, комедия]","[США]"
"Цезарь и Клеопатра",129,1945,"[драма, мелодрама, комедия, военный, биография, история]","[Великобритания]"
"Натянутая тетива",90,2005,"[драма, мелодрама]","[Корея Южная, Япония]"
"Время прощания",85,2005,"[драма]","[Франция]"
"Теневой партнер",96,2004,"[боевик, криминал]","[Россия, США]"
"Капризное облако",114,2005,"[мюзикл, фантастика, драма, комедия]","[Тайвань, Франция]"
"Рыцари неба",102,2005,"[боевик, приключения]","[Франция]"
"Мужской сезон: Бархатная революция",116,2005,"[боевик, драма, криминал]","[Россия]"
"Семейные тайны (мини-сериал)",1200,2001,"[драма]","[Россия]"
"Северная Корея: День из жизни",48,2004,"[документальный]","[Нидерланды]"
"Приключения Шерлока Холмса",85,1939,"[триллер, криминал, детектив]","[США]"
"Повесть о поздней хризантеме",148,1939,"[драма]","[Япония]"
"Призрак оперы",92,1943,"[ужасы, триллер, драма, мелодрама, музыка]","[США]"
"Фантоцци",97,1975,"[комедия]","[Италия]"
"Второй трагический Фантоцци",105,1976,"[комедия]","[Италия]"
"У Фантоцци опять неприятности",84,1983,"[комедия]","[Италия]"
"Супер Фантоцци",90,1986,"[комедия]","[Италия]"
"Фантоцци уходит на пенсию",95,1988,"[комедия]","[Италия]"
"Вперед, путешественник",117,1942,"[драма, мелодрама]","[США]"
"Фантоцци в раю",92,1993,"[комедия]","[Италия]"
"История Джона Леннона (ТВ)",85,2000,"[драма, биография, музыка]","[США]"
"Дитя",95,2005,"[драма, мелодрама, криминал]","[Бельгия, Франция]"
"Похищение вождя краснокожих (ТВ)",90,1998,"[комедия, вестерн]","[США]"
"Князь Владимир",78,2004,"[мультфильм, драма, история]","[Россия]"
"Война тануки в периоды Хэйсэй и Помпоко",119,1994,"[аниме, мультфильм, фэнтези, драма, комедия]","[Япония]"
